index,Proportion,arousal,contrast,dominance,height,hsv_itten_std_h,hsv_itten_std_s,hsv_itten_std_v,lat,long,orientation,pleasure,symmetry,width,day,hour,has_zebra
8174,55.5555555556,-0.07008450971103558,1.5464318239910324,0.6228127823582522,2224,116151.77171724741,173476.71744761599,178729.77862186875,-1.3829547863666014,36.887922280903695,1,0.5476888569410315,6.115306730775888,3344,19,17,1
818,50.0,0.03605608070670177,1.793795464078761,0.6058138694323402,3456,131915.97602282887,98568.11245631117,134533.68997722794,-1.349854,36.805475,1,0.5226780293847175,5.8762356378495655,5184,1,17,1
8181,70.0,-0.07988797161565482,1.6731162524150618,0.5528763409646479,2224,123676.7695671081,164698.94000751796,153128.93002593887,-1.3834466956249416,36.8879731074989,1,0.4878943928165568,4.760967607149727,3344,19,17,1
8189,50.0,-0.07349979168838737,1.8904947944827,0.4867960454216063,2224,125576.1167873449,187117.55308147872,186522.89901302254,-1.3837404521845402,36.887805780325166,1,0.4298858824510016,6.469238639434919,3344,19,17,1
819,60.0,0.07812173505023468,1.9588967399772323,0.5813612872968039,3456,158326.15770319052,94157.38589829266,151454.7495686051,-1.349946,36.80519,1,0.4973794807921943,5.88047477678138,5184,1,17,1
8194,90.0,-0.0780411828959863,1.8262364120453969,0.503008118053292,2224,115403.74089136894,186189.69301763191,112757.44618821805,-1.3836310293759255,36.887958025006384,1,0.4444047585167908,6.2276525723375356,3344,19,17,1
82,90.0,0.04321301217382742,2.356390400138888,0.4650480463316121,4000,118852.95088282648,152528.85035821912,219373.4339588294,-1.378549,36.814932,1,0.3997297379117186,6.769547425112095,6000,1,16,1
820,60.0,0.03344157838679876,1.7772350357181006,0.594615657143722,3456,134565.6856918666,107767.20308145703,142991.05275583582,-1.349946,36.80519,1,0.5132046132441829,7.248255008561891,5184,1,17,1
8212,60.0,-0.12745685661976192,1.8072279827283253,0.4030015018847107,768,75506.97813778537,275394.3000622925,297610.11714769824,-1.4124578291162448,36.90062092064583,1,0.3623181046895294,6.305643263914615,1024,20,19,1
8213,60.0,-0.09183390967465598,2.0109958151392244,0.4295944301029284,768,73418.52172760405,258247.1401282113,199528.3542607416,-1.4124701297041722,36.90062697545443,1,0.3819753814016456,10.248986644980373,1024,20,19,1
8215,80.0,-0.09271592942545864,2.0184671165025927,0.4149465484894285,768,85177.46275472951,275491.5406955357,254325.9496879284,-1.4124701651136178,36.90062724599804,1,0.36933861581197225,7.216591628654374,1024,20,19,1
8225,30.0,-0.09590201979573024,1.910669214793132,0.4345888254161334,768,49537.990954754445,234890.50890659675,129499.3216224188,-1.4124703435319377,36.90063483096699,1,0.3867058355128074,12.313125197127006,1024,20,19,1
8228,50.0,-0.013473577967311221,2.371888646948521,0.4010378851241879,768,117668.164340091,171550.32463157858,207699.99223880586,-1.4124696493498492,36.90064888903228,1,0.3496085230294151,5.1305702031633205,1024,20,19,1
8233,70.0,-0.07213475167518417,2.1362237080597533,0.4097030630542808,768,95273.0205672099,260494.66448816183,272639.406228569,-1.4096809199870424,36.89613936988937,1,0.36279762192824944,7.207391494552965,1024,20,19,1
8236,70.0,-0.08875223015615036,2.141920949633699,0.39506283941824494,768,77500.46337173303,258198.85485106238,269890.5382607302,-1.3874852145463696,36.89086141263382,1,0.3516866367144225,6.583416449283332,1024,20,19,1
8244,30.0,-0.08011246749079691,2.041809879999798,0.4090708221835576,768,84915.40328468093,213184.31063753265,204622.9777322185,-1.3873142560664111,36.89075899818204,1,0.3630186936498886,5.857226373319893,1024,20,19,1
8247,60.0,-0.07109574432209076,2.239936761251505,0.3872405533236431,768,81826.61070010577,263769.6550113375,226736.7054066603,-1.3865413850011108,36.89043259497439,1,0.3431882685668673,6.786410626284221,1024,20,19,1
8254,20.0,-0.05377722115915237,2.258405670876224,0.3972511808650099,768,64680.118271897634,225559.3999717148,190440.71644652745,-1.3696727824929271,36.8561242256195,1,0.3502106960865243,11.073890344198544,1024,20,20,1
8257,80.0,-0.08848720391702533,2.1385644492407203,0.39734471377671504,768,85040.80718886276,281134.7858732533,291613.2379516861,-1.3691167887484113,36.848216462485524,1,0.353642894656132,5.3812489239074885,1024,20,20,1
826,100.0,0.04534821651942028,1.8946657745697983,0.5650904484438741,3456,140210.6383834297,106579.53933659123,126160.7868933749,-1.349973,36.805126,1,0.486412013390121,7.4824431309531745,5184,1,17,1
827,70.0,0.020717774257472454,1.7815857465052478,0.5760312515258675,3456,139853.75215699038,106002.22397666947,124803.64729267955,-1.349973,36.805126,1,0.498292141184389,7.955629692779826,5184,1,17,1
8271,70.0,-0.0880537265931498,2.0857544358131306,0.4006366914623027,768,75197.52086006559,220882.05331081108,244223.68767313843,-1.3455473282016956,36.79255090006207,1,0.3564601807790259,8.476029458958077,1024,20,20,1
