GID,ANNOTATION_ID
789,[14129]
4521,[]
4982,[]
3161,[12642]
1537,"[15223, 15224, 15225]"
194,[]
1207,[13345]
2897,"[16842, 16843, 16844]"
3184,[]
1747,[14758]
2918,"[17115, 17116, 17117]"
3054,[]
2159,"[9239, 9240]"
914,[9414]
397,[13282]
3442,[9011]
2761,"[16906, 16907, 16908]"
1712,[]
3674,[]
2562,[16781]
1464,[12336]
308,[9231]
4747,[]
3495,"[12203, 12204, 12205]"
3953,"[18096, 18097]"
300,[]
2894,"[17034, 17035]"
2496,"[14557, 14558]"
2932,"[17299, 17300, 17301, 17302]"
1296,"[12329, 12330]"
343,[]
4449,[]
652,[14103]
756,"[14176, 14177]"
3453,[12614]
2934,"[17112, 17113]"
3461,[]
2350,[]
225,[9217]
4663,[]
897,[9442]
3928,[]
3893,[]
3485,[]
1442,[]
2717,[17230]
1556,[14630]
1123,[]
822,"[15669, 15670, 15671]"
1539,"[14410, 14411]"
785,[14148]
1831,"[15355, 15356]"
1503,[14406]
4030,[]
2357,"[15803, 15804, 15805, 15806]"
3753,[]
1245,[]
1910,[]
2890,"[17279, 17280]"
3813,[]
164,[15458]
415,[16135]
4686,[]
4770,[]
1299,[]
4914,[12470]
4487,[]
2827,[9990]
1745,"[9251, 9252]"
3105,"[12664, 12665]"
158,[15543]
3431,[12696]
2009,[14873]
583,"[15974, 15975, 15976, 15977, 15978]"
2985,[13898]
4328,[17895]
1780,[14363]
4231,"[18205, 18206, 18207, 18208]"
180,[]
2550,"[16775, 16776]"
2989,"[17126, 17127, 17128]"
3845,[]
3823,[]
3358,[12505]
1085,[]
966,[]
4905,[12484]
766,[14180]
900,"[9421, 9422]"
656,[14197]
3015,[17223]
4398,[]
2791,[]
4181,[]
394,[13295]
4912,[]
2204,"[15339, 15340, 15341]"
4972,"[13000, 13001, 13002]"
592,[]
1244,[]
1636,[14768]
1135,[]
1681,[]
3084,[9003]
3078,[]
2775,[]
630,[15417]
3707,[18037]
1412,"[9738, 12267, 12268, 12269]"
4129,[]
338,[]
2789,[]
1600,"[13998, 13999, 14000, 14001]"
1326,"[12381, 12382]"
1141,[9156]
1635,[15163]
843,[15862]
4765,[]
1916,[14256]
4726,[]
3514,[12187]
2062,[9170]
477,[16173]
2908,[17224]
781,"[14229, 14230]"
3251,[12705]
1188,[9265]
3791,[]
2255,[14815]
3903,[]
1905,[]
2880,[]
1662,"[15846, 15847, 15848, 15849]"
2016,[]
2786,[17167]
2752,[17186]
2021,[15010]
3943,"[18211, 18212]"
1126,[9160]
3612,"[18758, 18759, 18760, 18761, 18762]"
1826,[]
1875,[14533]
2539,[]
559,"[16102, 16103, 16104]"
1573,[14301]
2044,[]
2480,[]
3757,[]
3450,"[12659, 12660]"
3478,[]
2266,[]
2333,[14597]
811,[15901]
3583,[]
3065,[]
3471,[]
69,[13403]
4761,[]
1569,[14075]
3962,"[18677, 18678]"
3959,[18178]
1247,[]
741,"[14241, 14242, 14243]"
621,"[16121, 16122]"
4679,[]
384,[13320]
1275,[12328]
1218,[]
4454,[]
4427,[18273]
4475,[18169]
4898,[]
2793,[]
4373,[]
260,[15550]
3540,"[12194, 12195, 12196, 12197, 12198]"
4703,[]
3373,[12742]
973,[]
4504,[]
2398,[14871]
47,"[13394, 13395]"
2410,[]
1434,[]
833,"[15649, 15650]"
4642,[]
4639,[18319]
4125,[17948]
1784,"[14534, 14535]"
4118,[]
3939,"[18317, 18318]"
2018,[14078]
3534,"[12237, 12238, 12239]"
3663,[]
120,[]
4532,[]
1060,"[9516, 9517]"
2216,[14316]
4760,[]
2928,"[17007, 17008, 17009]"
3828,[]
4404,[18639]
2575,"[17179, 17180]"
55,[13404]
1988,"[15785, 15786]"
1604,[14400]
2599,[]
3219,[12718]
3169,[]
3711,"[18539, 18540, 18541, 18542, 18543, 18544, 18545]"
4267,[18650]
2767,"[16800, 16801, 16802]"
3012,[16963]
4746,[]
1557,[15110]
3138,[8822]
4413,"[18260, 18261]"
4184,[]
1883,[]
988,[]
1561,[14585]
2925,[17162]
1459,[12422]
1727,"[15262, 15263]"
153,[9188]
4274,[17903]
1378,[12412]
1608,[13995]
4583,[18501]
3934,[18168]
541,"[16074, 16075, 16076]"
3299,[9015]
615,[16082]
3293,[9133]
303,[]
4271,[]
549,[]
4807,[17989]
926,[9473]
2003,"[15814, 15815, 15816, 15817, 15818]"
171,[]
1225,[]
577,[15426]
735,[14133]
1006,[]
270,[15454]
1251,[12343]
2547,"[16748, 16749]"
2543,[17119]
3577,[]
1706,[]
968,[15658]
1906,"[15842, 15843, 15844]"
1347,[]
1295,"[12297, 12298]"
1564,[14881]
1744,[14847]
1268,[]
4691,[]
4973,[13032]
3738,[]
110,[]
94,[]
2635,[17097]
2141,[]
4138,[]
3121,"[9126, 9127]"
4802,[]
3294,[9140]
36,[13441]
3186,[]
3640,[10028]
1646,"[15787, 15788, 15789, 15790, 15791, 15792, 15793, 15794]"
4810,[10022]
2150,[14394]
4798,[18397]
2998,[17073]
1386,"[12294, 12295, 12296]"
4241,[]
212,[]
1023,[15595]
219,[]
1587,[15173]
3039,[16980]
3101,[12602]
2724,[17074]
945,[9464]
1789,[15332]
951,[]
2764,"[17237, 17238]"
814,"[15617, 15618, 15619, 15620]"
1570,[14780]
4456,[]
1746,[]
3096,[12599]
464,[]
4607,[18727]
3715,[18333]
293,[]
3749,[]
1735,[14350]
2085,"[14822, 14823]"
645,[14240]
1286,[]
3349,[12685]
1507,"[14877, 14878]"
4101,[]
4351,[]
864,[15868]
1144,[9162]
681,[]
4147,[]
4149,[]
4894,[12457]
3326,[]
3221,[12530]
419,[16084]
2825,[9988]
3889,[]
904,[]
1768,"[14049, 14050]"
1255,"[12359, 12360, 12361, 12362, 12363]"
4200,[]
2661,"[16823, 16824, 16825]"
820,[15579]
4185,[]
2698,"[16784, 16785]"
3919,[]
1753,[14775]
264,"[15555, 15556]"
365,[9165]
1653,"[14671, 14672, 14673, 14674]"
420,[]
4201,[]
2147,[14086]
3262,[12707]
4921,[12473]
1233,[13350]
4769,[]
4420,[15756]
306,[9192]
1140,[]
1478,[14589]
2795,[9976]
4823,[18121]
2356,"[15023, 15024, 15025, 15026, 15027, 15028]"
251,[15520]
564,"[15389, 15390]"
1204,[13355]
1121,[]
1061,[9528]
3949,"[18712, 18713]"
4744,[18486]
2917,"[17211, 17212, 17213]"
3560,[12131]
1966,[14011]
3336,[8987]
2832,"[9960, 9961]"
1803,[14719]
664,[14205]
560,[]
1210,[13357]
918,[]
1638,"[15202, 15203]"
2856,"[9956, 9957]"
2834,[16712]
3036,"[13896, 13897]"
487,[]
4818,[10015]
1488,[]
333,"[9204, 15573]"
2467,"[14612, 14613]"
1607,[14376]
4349,[]
840,[9481]
4253,"[18053, 18054]"
3185,[]
2546,"[17030, 17031]"
416,[15404]
4305,[]
4258,[18135]
