GID,ANNOTATION_ID
8967,"[11665, 11666, 11667, 11668]"
177,[]
56,[13389]
876,[15655]
1796,[14631]
2157,[]
573,"[16112, 16113, 16114, 16115]"
6220,"[13759, 13760]"
3365,[]
5734,[]
6660,[17536]
1968,"[15365, 15366, 15367]"
8317,[9067]
2674,[16812]
7996,[10472]
76,[13396]
4648,[18136]
384,[13320]
7361,[]
2172,[]
1102,[9431]
8225,[10844]
1993,"[14882, 14883]"
478,[15427]
2416,"[14404, 14405]"
8762,[12111]
3080,[9122]
3407,[]
6238,[13470]
2484,[]
5070,[14481]
2026,[]
204,[]
3485,[]
6199,[13814]
496,[]
1338,[]
6197,[13804]
7799,"[10167, 10168, 10169]"
7705,[9776]
1623,"[14323, 14324]"
1793,[14659]
8346,"[9051, 9052]"
3152,[8811]
1057,[9508]
8341,[8820]
2442,"[14317, 14318, 14319]"
355,[13303]
5054,[16123]
3403,[]
8329,[9028]
687,[]
2457,"[14656, 14657, 14658]"
7049,"[13132, 13133]"
3850,[]
404,[13269]
8276,[10898]
6704,"[17649, 17650]"
787,[14226]
4902,[12479]
2976,"[16911, 16912, 16913]"
2308,[14974]
8076,[]
7759,[13248]
8194,[10811]
96,[]
3695,[18237]
7751,[]
7331,[13631]
995,[]
907,[]
7793,"[10158, 10159]"
9231,"[12043, 12044, 12045]"
727,[14222]
8923,"[11699, 11700]"
954,[15641]
79,[13454]
977,[15881]
3478,[]
3203,[12653]
331,[15439]
387,[13292]
3922,[18624]
3875,[18667]
8669,[11331]
3079,[]
1515,"[15169, 15170]"
461,"[15943, 15944]"
8829,[11541]
8109,[10679]
306,[9192]
1060,"[9516, 9517]"
7987,[]
8113,[10685]
5397,[]
962,[9438]
1579,[15258]
2603,[9949]
1824,[14545]
4581,[18070]
1973,"[14978, 14979]"
1260,"[9725, 9726, 9727]"
1672,[14339]
4742,[]
1769,[14781]
8473,[11091]
7843,[10238]
7817,[10199]
1983,"[15290, 15291, 15292, 15293]"
2372,[14421]
