AID,GID,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
17105,2780,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-17105,poor,UNKNOWN NAME,zebra_plains,right
17106,2780,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-17106,ok,UNKNOWN NAME,zebra_plains,right
12837,5455,adult,"NNP GZC Car '3WHITE', Person 'A'",0,IBEIS_PZ_0264,537,ok,Female,zebra_plains,left
13482,6229,infant,"NNP GZC Car '5WHITE', Person 'A'",0,IBEIS_PZ_1140,1413,poor,UNKNOWN SEX,zebra_plains,left
13616,7233,adult,"NNP GZC Car '7WHITE', Person 'A'",1,IBEIS_PZ_0260,533,good,Male,zebra_plains,left
9408,979,infant,"NNP GZC Car '15WHITE', Person 'C'",0,____,-9408,junk,UNKNOWN NAME,giraffe_masai,front
12713,3454,infant,"NNP GZC Car '1WHITE', Person 'C'",0,IBEIS_PZ_0899,1172,good,UNKNOWN SEX,zebra_plains,right
13330,1231,adult,"NNP GZC Car '17WHITE', Person 'C'",0,IBEIS_PZ_0025,298,good,Female,zebra_plains,left
13437,52,infant,"NNP GZC Car '10WHITE', Person 'A'",0,____,-13437,ok,UNKNOWN NAME,zebra_plains,right
14536,2336,adult,"NNP GZC Car '1PURPLE', Person 'D'",1,IBEIS_PZ_1287,1560,excellent,Male,zebra_plains,left
16127,575,adult,"NNP GZC Car '13WHITE', Person 'B'",1,IBEIS_PZ_0873,1146,good,Male,zebra_plains,left
14425,2213,infant,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1362,1635,junk,Male,zebra_plains,left
14426,2213,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1281,1554,good,Female,zebra_plains,left
12933,5484,infant,"NNP GZC Car '3WHITE', Person 'A'",0,____,-12933,poor,UNKNOWN NAME,zebra_plains,back
12934,5484,adult,"NNP GZC Car '3WHITE', Person 'A'",0,IBEIS_PZ_0904,1177,ok,Male,zebra_plains,backleft
18080,4780,infant,"NNP GZC Car '2RED', Person 'C'",0,____,-18080,poor,UNKNOWN NAME,zebra_plains,backleft
17528,6688,adult,"NNP GZC Car '6RED', Person 'B'",0,IBEIS_PZ_0722,995,good,Female,zebra_plains,left
14423,1959,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'B'",0,IBEIS_PZ_0395,668,poor,Female,zebra_plains,backleft
12446,4948,adult,"NNP GZC Car '2WHITE', Person 'A'",0,IBEIS_PZ_0439,712,poor,UNKNOWN SEX,zebra_plains,left
12447,4948,infant,"NNP GZC Car '2WHITE', Person 'A'",1,IBEIS_PZ_0436,709,ok,UNKNOWN SEX,zebra_plains,left
15997,5099,infant,"NNP GZC Car '3RED', Person 'A'",1,IBEIS_PZ_1824,2097,good,UNKNOWN SEX,zebra_plains,frontleft
15604,1005,infant,"NNP GZC Car '15WHITE', Person 'D'",0,____,-15604,poor,UNKNOWN NAME,zebra_plains,right
9221,2066,adult,"NNP GZC Car '1PURPLE', Person 'C'",0,NNP_GIRM_0110,157,ok,Male,giraffe_masai,left
9222,2066,infant,"NNP GZC Car '1PURPLE', Person 'C'",0,____,-9222,poor,UNKNOWN NAME,giraffe_masai,frontright
9649,6957,infant,"NNP GZC Car '6WHITE', Person 'B'",0,____,-9649,junk,UNKNOWN NAME,giraffe_masai,frontleft
9650,6957,infant,"NNP GZC Car '6WHITE', Person 'B'",0,____,-9650,junk,UNKNOWN NAME,giraffe_masai,frontleft
16807,2806,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-16807,poor,UNKNOWN NAME,zebra_plains,right
16857,2774,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-16857,poor,UNKNOWN NAME,zebra_plains,left
16858,2774,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-16858,poor,UNKNOWN NAME,zebra_plains,left
16859,2774,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-16859,poor,UNKNOWN NAME,zebra_plains,backleft
16860,2774,infant,"NNP GZC Car '1RED', Person 'B'",0,____,-16860,poor,UNKNOWN NAME,zebra_plains,left
11430,8728,juveniles- two year old,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0350,623,ok,UNKNOWN SEX,zebra_plains,left
