AID,GID,Album,Shared,Not Shared,Proportion,AGE,CONTRIBUTOR,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
18240.0,4825,photo_album_44,3,7,30.0,infant,"NNP GZC Car '2RED', Person 'D'",0,____,-18240,poor,UNKNOWN NAME,zebra_plains,left
11638.0,8899,photo_album_73,4,6,40.0,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0261,534,poor,UNKNOWN SEX,zebra_plains,left
13470.0,6238,photo_album_94,0,10,0.0,adult,"NNP GZC Car '5WHITE', Person 'A'",0,IBEIS_PZ_0443,716,ok,Female,zebra_plains,left
14477.0,5034,photo_album_37,4,6,40.0,infant,"NNP GZC Car '3RED', Person 'A'",1,IBEIS_PZ_1845,2118,good,UNKNOWN SEX,zebra_plains,left
9574.0,6918,photo_album_34,5,5,50.0,adult,"NNP GZC Car '6WHITE', Person 'B'",1,NNP_GIRM_0004,4,good,Male,giraffe_masai,left
11280.0,8623,photo_album_78,6,4,60.0,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0205,478,ok,Male,zebra_plains,left
15397.0,565,photo_album_36,2,8,20.0,adult,"NNP GZC Car '13WHITE', Person 'B'",0,IBEIS_PZ_1547,1820,good,Male,zebra_plains,left
13116.0,7020,photo_album_34,4,6,40.0,adult,"NNP GZC Car '6WHITE', Person 'B'",1,IBEIS_PZ_0946,1219,good,Female,zebra_plains,left
13117.0,7020,photo_album_34,4,6,40.0,infant,"NNP GZC Car '6WHITE', Person 'B'",1,IBEIS_PZ_1072,1345,ok,UNKNOWN SEX,zebra_plains,frontleft
10603.0,8063,photo_album_100,5,5,50.0,adult,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",0,IBEIS_PZ_0079,352,good,Female,zebra_plains,left
10604.0,8063,photo_album_100,5,5,50.0,adult,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1,IBEIS_PZ_0065,338,good,Male,zebra_plains,left
11575.0,8850,photo_album_78,7,3,70.0,juveniles- two year old,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0395,668,poor,Female,zebra_plains,left
11576.0,8850,photo_album_78,7,3,70.0,adult,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",0,IBEIS_PZ_0379,652,ok,Female,zebra_plains,left
9629.0,6970,photo_album_34,5,5,50.0,juveniles- two year old,"NNP GZC Car '6WHITE', Person 'B'",1,NNP_GIRM_0080,104,ok,Female,giraffe_masai,frontleft
14323.0,1623,photo_album_12,6,3,66.66666666666667,adult,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_1216,1489,good,Female,zebra_plains,left
14324.0,1623,photo_album_12,6,3,66.66666666666667,adult,"NNP GZC Car '1PURPLE', Person 'A'",0,IBEIS_PZ_1282,1555,ok,Male,zebra_plains,left
14423.0,1959,photo_album_25,1,7,12.5,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'B'",0,IBEIS_PZ_0395,668,poor,Female,zebra_plains,backleft
13831.0,5755,photo_album_24,7,3,70.0,adult,"NNP GZC Car '4RED', Person 'A'",0,IBEIS_PZ_0005,278,ok,Female,zebra_plains,left
14294.0,1920,photo_album_25,3,5,37.5,adult,"NNP GZC Car '1PURPLE', Person 'B'",0,IBEIS_PZ_1429,1702,ok,Female,zebra_plains,left
14294.0,1920,photo_album_76,6,4,60.0,adult,"NNP GZC Car '1PURPLE', Person 'B'",0,IBEIS_PZ_1429,1702,ok,Female,zebra_plains,left
10442.0,7973,photo_album_16,7,3,70.0,infant,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,IBEIS_PZ_0032,305,ok,UNKNOWN SEX,zebra_plains,left
10443.0,7973,photo_album_16,7,3,70.0,infant,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",0,IBEIS_PZ_0190,463,poor,UNKNOWN SEX,zebra_plains,back
10444.0,7973,photo_album_16,7,3,70.0,adult,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1,IBEIS_PZ_0031,304,good,Female,zebra_plains,left
11518.0,8807,photo_album_69,3,7,30.0,infant,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1,IBEIS_PZ_0411,684,good,UNKNOWN SEX,zebra_plains,left
10831.0,8212,photo_album_43,6,4,60.0,infant,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1,IBEIS_PZ_0297,570,ok,UNKNOWN SEX,zebra_plains,left
12511.0,3196,photo_album_13,4,5,44.44444444444444,adult,"NNP GZC Car '1WHITE', Person 'B'",0,IBEIS_PZ_0067,340,good,Female,zebra_plains,frontleft
15001.0,2234,photo_album_53,5,5,50.0,adult,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1276,1549,good,Male,zebra_plains,left
15002.0,2234,photo_album_53,5,5,50.0,juveniles- two year old,"NNP GZC Car '1PURPLE', Person 'D'",0,IBEIS_PZ_1274,1547,ok,Male,zebra_plains,left
12603.0,3197,photo_album_18,6,4,60.0,adult,"NNP GZC Car '1WHITE', Person 'B'",0,IBEIS_PZ_0067,340,ok,Female,zebra_plains,frontleft
13856.0,5680,photo_album_62,4,6,40.0,infant,"NNP GZC Car '4RED', Person 'A'",1,IBEIS_PZ_0212,485,ok,Male,zebra_plains,left
9461.0,981,photo_album_56,0,10,0.0,infant,"NNP GZC Car '15WHITE', Person 'C'",0,____,-9461,junk,UNKNOWN NAME,giraffe_masai,frontright
18480.0,4829,photo_album_44,2,8,20.0,infant,"NNP GZC Car '2RED', Person 'D'",0,____,-18480,poor,UNKNOWN NAME,zebra_plains,left
12654.0,3434,photo_album_92,9,1,90.0,infant,"NNP GZC Car '1WHITE', Person 'C'",0,IBEIS_PZ_0897,1170,ok,UNKNOWN SEX,zebra_plains,backleft
12654.0,3434,photo_album_93,8,2,80.0,infant,"NNP GZC Car '1WHITE', Person 'C'",0,IBEIS_PZ_0897,1170,ok,UNKNOWN SEX,zebra_plains,backleft
13322.0,385,photo_album_1,8,2,80.0,infant,"NNP GZC Car '12WHITE', Person 'A'",0,____,-13322,excellent,UNKNOWN NAME,zebra_plains,right
15493.0,141,photo_album_38,7,3,70.0,infant,"NNP GZC Car '11WHITE', Person 'A'",0,IBEIS_PZ_1543,1816,ok,Male,zebra_plains,left
15493.0,141,photo_album_75,7,3,70.0,infant,"NNP GZC Car '11WHITE', Person 'A'",0,IBEIS_PZ_1543,1816,ok,Male,zebra_plains,left
