ANNOTATION_ID,NID,NAME,SPECIES,SEX,AGE_MONTHS,EXEMPLAR_FLAG,IMAGE_QUALITY,IMAGE_YAW
296,243,243,hippopotamus,UNKNOWN SEX,infant,0,UNKNOWN,,
297,19,19,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
298,244,244,person,UNKNOWN SEX,infant,0,UNKNOWN,,
299,245,245,person,UNKNOWN SEX,infant,0,UNKNOWN,,
300,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
301,246,246,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
302,247,-302,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
303,248,-303,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
304,98,98,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
305,249,-305,cow_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
306,250,-306,cow_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
307,103,103,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
308,45,45,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
309,251,251,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
310,252,-310,lion,UNKNOWN SEX,infant,0,UNKNOWN,,
311,257,257,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
312,45,45,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
313,255,255,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
314,256,-314,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
315,257,257,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
316,258,258,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
317,134,134,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
318,260,-318,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
319,261,-319,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
320,262,262,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
321,263,263,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
322,264,-322,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
323,265,-323,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
324,48,48,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
325,266,-325,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
326,267,-326,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
327,268,268,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
328,269,-328,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
329,270,270,giraffe_reticulated,UNKNOWN SEX,infant,0,UNKNOWN,,
330,271,-330,giraffe_reticulated,UNKNOWN SEX,infant,0,UNKNOWN,,
331,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
332,45,45,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
333,98,98,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
334,273,-334,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
335,274,-335,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
336,275,-336,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
337,25,25,sheep_domestic,UNKNOWN SEX,infant,0,UNKNOWN,,
338,276,-338,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
339,277,277,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
340,246,246,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
341,19,19,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
342,278,-342,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
343,279,-343,zebra_plains,UNKNOWN SEX,infant,0,UNKNOWN,,
344,280,-344,hippopotamus,UNKNOWN SEX,infant,0,UNKNOWN,,
345,281,-345,zebra_grevys,UNKNOWN SEX,infant,0,UNKNOWN,,
