,,Share Proportion
-18498,photo_album_99,70.0
-18499,photo_album_99,70.0
987,photo_album_92,70.0
-18500,photo_album_99,70.0
-15494,photo_album_38,70.0
-14140,photo_album_26,70.0
-12876,photo_album_81,70.0
-9334,photo_album_57,70.0
-10123,photo_album_66,70.0
-9490,photo_album_50,70.0
852,photo_album_69,70.0
-12874,photo_album_81,70.0
-10121,photo_album_66,70.0
-12877,photo_album_81,70.0
-10082,photo_album_66,70.0
-10122,photo_album_66,70.0
-10081,photo_album_66,70.0
-9489,photo_album_50,70.0
304,photo_album_16,68.42105263157895
844,photo_album_22,66.66666666666667
348,photo_album_30,66.66666666666667
-16088,photo_album_28,66.66666666666667
457,photo_album_16,66.66666666666667
338,photo_album_30,66.66666666666667
1492,photo_album_22,66.66666666666667
-9375,photo_album_20,66.66666666666667
288,photo_album_16,66.66666666666667
1555,photo_album_12,66.66666666666667
-13840,photo_album_24,66.66666666666667
395,photo_album_30,66.66666666666667
352,photo_album_30,66.66666666666667
47,photo_album_80,66.66666666666667
1360,photo_album_27,66.66666666666667
1489,photo_album_12,66.66666666666667
772,photo_album_23,66.66666666666667
1550,photo_album_12,66.66666666666667
831,photo_album_23,66.66666666666667
1514,photo_album_12,66.66666666666667
1501,photo_album_25,66.66666666666667
378,photo_album_30,66.66666666666667
1651,photo_album_50,66.66666666666667
2165,photo_album_12,66.66666666666667
453,photo_album_16,66.66666666666667
1655,photo_album_50,66.66666666666667
19,photo_album_42,65.0
90,photo_album_55,65.0
84,photo_album_42,65.0
1540,photo_album_9,65.0
674,photo_album_77,65.0
386,photo_album_100,65.0
839,photo_album_12,65.0
74,photo_album_75,65.0
293,photo_album_62,65.0
607,photo_album_89,65.0
455,photo_album_4,63.333333333333336
696,photo_album_89,63.333333333333336
27,photo_album_49,63.333333333333336
2182,photo_album_22,61.111111111111114
1508,photo_album_22,61.111111111111114
-18434,photo_album_60,60.0
391,photo_album_68,60.0
-15886,photo_album_50,60.0
2117,photo_album_64,60.0
899,photo_album_44,60.0
390,photo_album_100,60.0
1362,photo_album_71,60.0
-15579,photo_album_50,60.0
-9398,photo_album_36,60.0
1357,photo_album_71,60.0
1546,photo_album_22,60.0
1360,photo_album_71,60.0
674,photo_album_35,60.0
-17112,photo_album_79,60.0
-9874,photo_album_2,60.0
-15388,photo_album_59,60.0
-16050,photo_album_32,60.0
-13429,photo_album_57,60.0
455,photo_album_47,60.0
-16051,photo_album_32,60.0
1243,photo_album_84,60.0
1243,photo_album_95,60.0
1549,photo_album_96,60.0
1835,photo_album_8,60.0
1548,photo_album_96,60.0
-9727,photo_album_40,60.0
-9726,photo_album_40,60.0
400,photo_album_100,60.0
1269,photo_album_82,60.0
883,photo_album_76,60.0
1718,photo_album_9,60.0
290,photo_album_93,60.0
-9725,photo_album_40,60.0
420,photo_album_100,60.0
1837,photo_album_10,60.0
1985,photo_album_22,60.0
-15385,photo_album_20,60.0
673,photo_album_69,60.0
405,photo_album_100,60.0
1546,photo_album_9,60.0
-18433,photo_album_60,60.0
1702,photo_album_76,60.0
1995,photo_album_79,60.0
-17759,photo_album_66,60.0
2014,photo_album_18,60.0
1488,photo_album_9,60.0
298,photo_album_79,60.0
-16112,photo_album_36,60.0
299,photo_album_47,60.0
1493,photo_album_96,60.0
-17703,photo_album_45,60.0
845,photo_album_73,60.0
332,photo_album_100,60.0
1496,photo_album_53,60.0
1496,photo_album_76,60.0
331,photo_album_100,60.0
1498,photo_album_53,60.0
89,photo_album_6,60.0
-13408,photo_album_57,60.0
79,photo_album_61,60.0
330,photo_album_100,60.0
-16115,photo_album_36,60.0
