GID,share
3210,0.0
3211,0.0
3213,1.0
3214,1.0
3215,1.0
3216,1.0
3217,1.0
3219,1.0
322,1.0
3221,1.0
3222,1.0
3223,1.0
3224,1.0
3225,1.0
3226,1.0
3229,1.0
323,0.0
3233,1.0
3234,0.0
3235,1.0
3236,1.0
3237,0.0
3239,1.0
324,0.0
3240,1.0
3241,1.0
3242,1.0
3243,1.0
3245,1.0
3246,1.0
3247,1.0
3248,1.0
3249,1.0
325,0.0
3250,1.0
3251,1.0
3252,0.0
3253,1.0
3254,1.0
3256,1.0
3257,1.0
3258,1.0
3259,1.0
3260,1.0
3261,1.0
3262,1.0
3263,1.0
3264,1.0
3265,0.0
3266,1.0
3268,1.0
3270,1.0
3271,1.0
3272,1.0
3274,1.0
3275,1.0
3276,1.0
3277,1.0
3278,1.0
3279,1.0
328,1.0
3280,1.0
3281,1.0
3282,1.0
3283,1.0
3284,1.0
3286,1.0
3287,1.0
3288,0.0
3289,1.0
329,1.0
3290,1.0
3291,1.0
3292,1.0
3293,1.0
3294,1.0
3295,1.0
3296,1.0
3297,1.0
3298,1.0
3299,1.0
33,1.0
330,1.0
3300,1.0
3301,1.0
3302,1.0
3303,1.0
3304,1.0
3305,1.0
3306,1.0
3307,1.0
3308,1.0
331,1.0
3310,1.0
3311,1.0
3312,1.0
3314,1.0
3315,1.0
3316,1.0
3317,1.0
3318,1.0
3319,1.0
332,1.0
3320,1.0
3321,1.0
3322,1.0
3324,1.0
3325,0.0
3327,1.0
3329,1.0
333,1.0
3334,1.0
3335,1.0
3336,1.0
3337,1.0
3338,1.0
334,1.0
3340,0.0
3341,1.0
3342,1.0
3343,1.0
3344,1.0
3345,1.0
3346,1.0
3347,1.0
3348,0.0
3349,1.0
3350,1.0
3351,1.0
3352,1.0
3354,1.0
3355,1.0
3356,0.0
3357,1.0
3358,1.0
3359,0.0
3360,1.0
3361,1.0
3362,1.0
3363,1.0
3364,1.0
3369,1.0
3370,1.0
3371,1.0
3372,1.0
3373,1.0
3375,1.0
3376,1.0
3377,1.0
3378,1.0
3379,1.0
3380,0.0
3381,1.0
3382,1.0
3383,1.0
3384,1.0
3385,1.0
3386,1.0
3387,1.0
3388,1.0
3389,1.0
3390,1.0
3391,1.0
3392,1.0
3394,1.0
3395,0.0
3396,1.0
3397,0.0
3398,1.0
3399,1.0
34,1.0
3400,1.0
3401,1.0
3409,1.0
3410,1.0
3412,1.0
3431,1.0
3432,0.0
3433,1.0
3434,1.0
3435,1.0
3436,0.0
3437,1.0
3438,1.0
3439,1.0
3440,1.0
3441,1.0
3442,1.0
3443,1.0
3446,1.0
3447,1.0
3448,1.0
3449,1.0
3450,1.0
3451,1.0
3452,1.0
3453,1.0
3454,1.0
346,1.0
347,1.0
348,1.0
3482,1.0
3483,1.0
349,1.0
3491,1.0
3492,1.0
3493,1.0
3494,1.0
3495,1.0
3496,1.0
3497,1.0
3498,1.0
3499,1.0
35,1.0
350,1.0
3500,1.0
3501,1.0
3502,1.0
3503,0.0
