GID,Stats
312,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
195,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
533,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4895,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4922,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3240,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7796,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4982,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7745,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3262,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7772,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
363,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
979,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
954,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3373,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4908,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
1869,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3355,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
966,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
354,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
2451,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7776,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
7797,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
2032,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4993,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4897,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
3473,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
4979,"{'variance': 50.0, 'standard_deviation': 7.0710678118654755}"
8348,"{'variance': 37.44855967078189, 'standard_deviation': 6.119522830317891}"
351,"{'variance': 33.33333333333333, 'standard_deviation': 5.773502691896257}"
386,"{'variance': 33.33333333333333, 'standard_deviation': 5.773502691896257}"
503,"{'variance': 33.33333333333333, 'standard_deviation': 5.773502691896257}"
3131,"{'variance': 33.33333333333333, 'standard_deviation': 5.773502691896257}"
359,"{'variance': 30.24691358024692, 'standard_deviation': 5.499719409228703}"
734,"{'variance': 25.925925925925924, 'standard_deviation': 5.091750772173155}"
371,"{'variance': 25.102880658436213, 'standard_deviation': 5.010277503136549}"
8332,"{'variance': 25.0, 'standard_deviation': 5.0}"
8351,"{'variance': 24.320987654320977, 'standard_deviation': 4.931631338038254}"
7777,"{'variance': 22.222222222222253, 'standard_deviation': 4.714045207910321}"
7771,"{'variance': 15.432098765432107, 'standard_deviation': 3.9283710065919317}"
635,"{'variance': 9.876543209876536, 'standard_deviation': 3.1426968052735433}"
642,"{'variance': 9.876543209876536, 'standard_deviation': 3.1426968052735433}"
1338,"{'variance': 5.555555555555539, 'standard_deviation': 2.357022603955155}"
1957,"{'variance': 3.125, 'standard_deviation': 1.7677669529663689}"
7759,"{'variance': 2.469135802469134, 'standard_deviation': 1.5713484026367717}"
8347,"{'variance': 0.41152263374485565, 'standard_deviation': 0.641500299099584}"
4931,"{'variance': 0.0, 'standard_deviation': 0.0}"
4970,"{'variance': 0.0, 'standard_deviation': 0.0}"
3076,"{'variance': 0.0, 'standard_deviation': 0.0}"
8324,"{'variance': 0.0, 'standard_deviation': 0.0}"
3078,"{'variance': 0.0, 'standard_deviation': 0.0}"
3485,"{'variance': 0.0, 'standard_deviation': 0.0}"
961,"{'variance': 0.0, 'standard_deviation': 0.0}"
5174,"{'variance': 0.0, 'standard_deviation': 0.0}"
4870,"{'variance': 0.0, 'standard_deviation': 0.0}"
952,"{'variance': 0.0, 'standard_deviation': 0.0}"
3348,"{'variance': 0.0, 'standard_deviation': 0.0}"
3411,"{'variance': 0.0, 'standard_deviation': 0.0}"
4901,"{'variance': 0.0, 'standard_deviation': 0.0}"
5708,"{'variance': 0.0, 'standard_deviation': 0.0}"
5692,"{'variance': 0.0, 'standard_deviation': 0.0}"
5734,"{'variance': 0.0, 'standard_deviation': 0.0}"
4900,"{'variance': 0.0, 'standard_deviation': 0.0}"
5019,"{'variance': 0.0, 'standard_deviation': 0.0}"
965,"{'variance': 0.0, 'standard_deviation': 0.0}"
3328,"{'variance': 0.0, 'standard_deviation': 0.0}"
10,"{'variance': 0.0, 'standard_deviation': 0.0}"
4872,"{'variance': 0.0, 'standard_deviation': 0.0}"
1332,"{'variance': 0.0, 'standard_deviation': 0.0}"
3438,"{'variance': 0.0, 'standard_deviation': 0.0}"
1329,"{'variance': 0.0, 'standard_deviation': 0.0}"
5005,"{'variance': 0.0, 'standard_deviation': 0.0}"
5717,"{'variance': 0.0, 'standard_deviation': 0.0}"
141,"{'variance': 0.0, 'standard_deviation': 0.0}"
3407,"{'variance': 0.0, 'standard_deviation': 0.0}"
9239,"{'variance': 0.0, 'standard_deviation': 0.0}"
346,"{'variance': 0.0, 'standard_deviation': 0.0}"
7778,"{'variance': 0.0, 'standard_deviation': 0.0}"
8323,"{'variance': 0.0, 'standard_deviation': 0.0}"
8340,"{'variance': 0.0, 'standard_deviation': 0.0}"
3219,"{'variance': 0.0, 'standard_deviation': 0.0}"
619,"{'variance': 0.0, 'standard_deviation': 0.0}"
5450,"{'variance': 0.0, 'standard_deviation': 0.0}"
9386,"{'variance': 0.0, 'standard_deviation': 0.0}"
3410,"{'variance': 0.0, 'standard_deviation': 0.0}"
983,"{'variance': 0.0, 'standard_deviation': 0.0}"
