,,Share Proportion,Standard Deviation,Variance
5734,photo_album_62,0.0,,
5737,photo_album_24,70.0,10.0,100.0
5737,photo_album_41,60.0,,
5737,photo_album_62,80.0,,
5739,photo_album_3,50.0,14.142135623730951,200.0
5739,photo_album_62,30.0,,
5753,photo_album_24,60.0,7.0710678118654755,50.0
5753,photo_album_62,70.0,,
5768,photo_album_24,100.0,35.35533905932738,1250.0
5768,photo_album_41,50.0,,
583,photo_album_36,100.0,14.142135623730951,200.0
583,photo_album_72,80.0,,
585,photo_album_10,40.0,42.42640687119285,1800.0
585,photo_album_36,100.0,,
589,photo_album_20,90.0,42.42640687119285,1800.0
589,photo_album_59,30.0,,
611,photo_album_20,80.0,9.42809041582063,88.88888888888883
611,photo_album_28,66.66666666666667,,
619,photo_album_10,0.0,0.0,0.0
619,photo_album_59,0.0,,
628,photo_album_10,40.0,14.142135623730951,200.0
628,photo_album_72,20.0,,
631,photo_album_10,60.0,14.142135623730951,200.0
631,photo_album_28,80.0,,
632,photo_album_36,20.0,28.284271247461902,800.0
632,photo_album_72,60.0,,
635,photo_album_28,44.44444444444444,3.1426968052735433,9.876543209876536
635,photo_album_59,40.0,,
642,photo_album_20,44.44444444444444,3.1426968052735433,9.876543209876536
642,photo_album_59,40.0,,
6597,photo_album_45,80.0,14.142135623730951,200.0
6597,photo_album_66,60.0,,
705,photo_album_26,55.55555555555556,17.82401394891254,317.69547325102883
705,photo_album_33,20.0,,
705,photo_album_70,40.0,,
706,photo_album_26,60.0,28.284271247461902,800.0
706,photo_album_33,20.0,,
710,photo_album_26,70.0,14.142135623730951,200.0
710,photo_album_70,50.0,,
723,photo_album_26,55.55555555555556,18.070506630322882,326.54320987654324
723,photo_album_70,30.0,,
734,photo_album_26,33.333333333333336,5.091750772173155,25.925925925925924
734,photo_album_33,40.0,,
734,photo_album_70,30.0,,
7532,photo_album_5,70.0,14.142135623730951,200.0
7532,photo_album_87,90.0,,
76,photo_album_57,60.0,14.142135623730951,200.0
76,photo_album_85,80.0,,
7744,photo_album_27,70.0,14.142135623730951,200.0
7744,photo_album_71,50.0,,
7745,photo_album_27,60.0,7.0710678118654755,50.0
7745,photo_album_71,70.0,,
7753,photo_album_27,0.0,28.284271247461902,800.0
7753,photo_album_71,40.0,,
7754,photo_album_27,11.11111111111111,20.42752923427804,417.28395061728395
7754,photo_album_71,40.0,,
7757,photo_album_27,50.0,7.0710678118654755,50.0
7757,photo_album_71,40.0,,
7759,photo_album_27,22.22222222222222,1.5713484026367717,2.469135802469134
7759,photo_album_71,20.0,,
7763,photo_album_27,40.0,7.0710678118654755,50.0
7763,photo_album_71,30.0,,
7770,photo_album_27,70.0,7.0710678118654755,50.0
7770,photo_album_71,60.0,,
7771,photo_album_27,44.44444444444444,3.9283710065919317,15.432098765432107
7771,photo_album_71,50.0,,
7772,photo_album_27,70.0,7.0710678118654755,50.0
7772,photo_album_71,80.0,,
7773,photo_album_27,40.0,14.142135623730951,200.0
7773,photo_album_71,60.0,,
