AID,GID,Album,Shared,Not Shared,Proportion,AGE,EXEMPLAR_FLAG,INDIVIDUAL_NAME,NID,QUALITY,SEX,SPECIES,VIEW_POINT
12652,3226,photo_album_18,9,1,90,adult,0,IBEIS_PZ_0886,1159,poor,Female,zebra_plains,left
9167,351,photo_album_82,9,1,90,infant,0,____,-9167,ok,UNKNOWN NAME,giraffe_masai,right
8984,8326,photo_album_67,9,1,90,infant,0,____,-8984,good,UNKNOWN NAME,giraffe_masai,back
14167,799,photo_album_70,9,1,90,adult,0,IBEIS_PZ_1896,2169,good,Female,zebra_plains,left
14168,799,photo_album_70,9,1,90,infant,0,____,-14168,junk,UNKNOWN NAME,zebra_plains,left
14337,1952,photo_album_54,9,1,90,adult,0,IBEIS_PZ_1442,1715,ok,Male,zebra_plains,front
18667,3875,photo_album_52,9,1,90,"juvenille, two year old",0,IBEIS_PZ_0401,674,good,Female,zebra_plains,left
12546,3202,photo_album_18,9,1,90,adult,0,IBEIS_PZ_0067,340,ok,Female,zebra_plains,left
9099,3122,photo_album_98,9,1,90,adult,0,NNP_GIRM_0070,92,good,Female,giraffe_masai,frontright
9100,3122,photo_album_98,9,1,90,adult,0,NNP_GIRM_0031,42,good,Female,giraffe_masai,frontleft
18200,4279,photo_album_99,9,1,90,infant,0,____,-18200,ok,UNKNOWN NAME,zebra_plains,backright
18201,4279,photo_album_99,9,1,90,infant,0,____,-18201,junk,UNKNOWN NAME,zebra_plains,backright
18202,4279,photo_album_99,9,1,90,infant,0,____,-18202,ok,UNKNOWN NAME,zebra_plains,backright
8837,3343,photo_album_95,9,1,90,adult,1,NNP_GIRM_0081,105,good,Male,giraffe_masai,left
9448,1041,photo_album_29,9,1,90,infant,0,____,-9448,junk,UNKNOWN NAME,giraffe_masai,front
15613,1041,photo_album_29,9,1,90,infant,0,____,-15613,poor,UNKNOWN NAME,zebra_plains,right
10381,7933,photo_album_88,9,1,90,infant,0,IBEIS_PZ_0013,286,ok,UNKNOWN SEX,zebra_plains,right
13802,6198,photo_album_94,9,1,90,adult,1,IBEIS_PZ_0445,718,excellent,Female,zebra_plains,left
13012,4997,photo_album_86,9,1,90,adult,1,IBEIS_PZ_0495,768,excellent,Female,zebra_plains,left
9307,7282,photo_album_31,9,1,90,infant,0,____,-9307,good,UNKNOWN NAME,giraffe_masai,right
