GID,Shared,Not Shared,Total,Proportion
8326,28,11,39,71.7948717948718
529,7,3,10,70.0
406,7,3,10,70.0
6599,7,3,10,70.0
532,7,3,10,70.0
536,14,6,20,70.0
3395,7,3,10,70.0
3401,7,3,10,70.0
6134,7,3,10,70.0
3403,7,3,10,70.0
4978,7,3,10,70.0
6786,7,3,10,70.0
752,7,3,10,70.0
3390,7,3,10,70.0
5276,7,3,10,70.0
5109,7,3,10,70.0
4275,7,3,10,70.0
758,7,3,10,70.0
6475,7,3,10,70.0
3348,14,6,20,70.0
634,7,3,10,70.0
5181,7,3,10,70.0
7576,7,3,10,70.0
631,14,6,20,70.0
6210,7,3,10,70.0
6202,7,3,10,70.0
5012,7,3,10,70.0
336,7,3,10,70.0
620,7,3,10,70.0
415,7,3,10,70.0
6199,7,3,10,70.0
6597,14,6,20,70.0
7502,7,3,10,70.0
438,7,3,10,70.0
7473,7,3,10,70.0
3380,7,3,10,70.0
3417,14,6,20,70.0
4909,21,9,30,70.0
537,7,3,10,70.0
483,7,3,10,70.0
671,7,3,10,70.0
4845,7,3,10,70.0
5678,7,3,10,70.0
7265,7,3,10,70.0
4839,7,3,10,70.0
585,14,6,20,70.0
3903,7,3,10,70.0
708,7,3,10,70.0
5679,7,3,10,70.0
364,7,3,10,70.0
5687,7,3,10,70.0
5390,7,3,10,70.0
578,7,3,10,70.0
4816,7,3,10,70.0
571,7,3,10,70.0
5719,7,3,10,70.0
703,7,3,10,70.0
5737,21,9,30,70.0
675,7,3,10,70.0
5755,7,3,10,70.0
5760,7,3,10,70.0
4673,7,3,10,70.0
6466,7,3,10,70.0
5674,14,6,20,70.0
5671,7,3,10,70.0
4574,7,3,10,70.0
6662,7,3,10,70.0
3424,7,3,10,70.0
4930,7,3,10,70.0
5492,7,3,10,70.0
5503,7,3,10,70.0
3443,7,3,10,70.0
3445,7,3,10,70.0
5513,7,3,10,70.0
3454,7,3,10,70.0
7354,7,3,10,70.0
5572,7,3,10,70.0
3329,7,3,10,70.0
562,7,3,10,70.0
563,7,3,10,70.0
605,7,3,10,70.0
3474,7,3,10,70.0
4888,7,3,10,70.0
3481,7,3,10,70.0
4875,7,3,10,70.0
3976,7,3,10,70.0
353,21,9,30,70.0
5675,7,3,10,70.0
999,7,3,10,70.0
76,14,6,20,70.0
18,7,3,10,70.0
8388,7,3,10,70.0
8352,28,12,40,70.0
197,7,3,10,70.0
1974,7,3,10,70.0
2005,7,3,10,70.0
8295,7,3,10,70.0
829,7,3,10,70.0
8271,7,3,10,70.0
827,7,3,10,70.0
8236,7,3,10,70.0
8233,7,3,10,70.0
2358,7,3,10,70.0
237,7,3,10,70.0
2372,7,3,10,70.0
8181,7,3,10,70.0
2492,7,3,10,70.0
253,7,3,10,70.0
2603,7,3,10,70.0
8139,7,3,10,70.0
2665,7,3,10,70.0
8087,7,3,10,70.0
7973,7,3,10,70.0
2943,7,3,10,70.0
7949,7,3,10,70.0
3080,7,3,10,70.0
1836,7,3,10,70.0
8449,7,3,10,70.0
7844,7,3,10,70.0
8500,7,3,10,70.0
928,7,3,10,70.0
1102,14,6,20,70.0
9239,14,6,20,70.0
1117,7,3,10,70.0
9175,7,3,10,70.0
9059,7,3,10,70.0
9023,7,3,10,70.0
8953,7,3,10,70.0
1240,7,3,10,70.0
1257,7,3,10,70.0
888,7,3,10,70.0
8863,7,3,10,70.0
8850,7,3,10,70.0
1277,7,3,10,70.0
1284,7,3,10,70.0
1286,7,3,10,70.0
1303,7,3,10,70.0
1305,7,3,10,70.0
1309,7,3,10,70.0
1313,7,3,10,70.0
1329,14,6,20,70.0
1339,7,3,10,70.0
141,14,6,20,70.0
1480,7,3,10,70.0
8725,7,3,10,70.0
7886,7,3,10,70.0
5094,7,3,10,70.0
7698,7,3,10,70.0
3166,7,3,10,70.0
3203,7,3,10,70.0
7764,7,3,10,70.0
7778,14,6,20,70.0
3138,7,3,10,70.0
3312,14,6,20,70.0
3314,7,3,10,70.0
7793,7,3,10,70.0
3162,14,6,20,70.0
3152,7,3,10,70.0
1968,13,6,19,68.42105263157895
1338,13,6,19,68.42105263157895
8327,27,13,40,67.5
8061,6,3,9,66.66666666666667
8331,20,10,30,66.66666666666667
1884,6,3,9,66.66666666666667
1311,6,3,9,66.66666666666667
5664,6,3,9,66.66666666666667
8143,6,3,9,66.66666666666667
8930,6,3,9,66.66666666666667
1538,6,3,9,66.66666666666667
1623,6,3,9,66.66666666666667
1789,6,3,9,66.66666666666667
498,6,3,9,66.66666666666667
8502,6,3,9,66.66666666666667
8924,6,3,9,66.66666666666667
1771,6,3,9,66.66666666666667
7849,6,3,9,66.66666666666667
8316,20,10,30,66.66666666666667
8342,33,17,50,66.0
5003,13,7,20,65.0
4905,13,7,20,65.0
282,13,7,20,65.0
479,13,7,20,65.0
5208,13,7,20,65.0
5668,13,7,20,65.0
405,13,7,20,65.0
7745,13,7,20,65.0
5753,13,7,20,65.0
5552,13,7,20,65.0
7770,13,7,20,65.0
5220,13,7,20,65.0
369,13,7,20,65.0
505,13,7,20,65.0
3355,13,7,20,65.0
5021,19,11,30,63.333333333333336
7777,12,7,19,63.1578947368421
8332,25,15,40,62.5
340,6,4,10,60.0
4803,6,4,10,60.0
4800,6,4,10,60.0
849,6,4,10,60.0
2097,6,4,10,60.0
8323,24,16,40,60.0
1813,6,4,10,60.0
580,6,4,10,60.0
3411,12,8,20,60.0
1888,6,4,10,60.0
4647,6,4,10,60.0
4648,6,4,10,60.0
1970,6,4,10,60.0
3410,12,8,20,60.0
1926,6,4,10,60.0
784,6,4,10,60.0
3208,6,4,10,60.0
588,6,4,10,60.0
478,18,12,30,60.0
589,12,8,20,60.0
5740,6,4,10,60.0
573,6,4,10,60.0
5724,6,4,10,60.0
1834,6,4,10,60.0
8405,6,4,10,60.0
